Instance : fnl4461.tsp
opt distance : 182566
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
12	189870	191011	190375
13	189253	190347	189909
14	188989	189962	189502
15	188596	189480	189103
16	188377	189191	188741
17	187743	188835	188364
18	187460	188657	188041
19	187245	188054	187715
20	186994	187736	187407
21	186688	187481	187110
22	186371	187263	186833
23	186066	186942	186584
24	185801	186647	186335
25	185663	186445	186087
26	185432	186185	185847
27	185337	185980	185625
28	185089	185715	185422
29	184887	185536	185221
30	184708	185295	185025
31	184589	185081	184841
32	184324	184891	184671
33	184237	184724	184517
34	184116	184537	184374
35	184079	184431	184245
36	183957	184299	184122
37	183810	184198	184001
38	183701	184037	183892
39	183646	183931	183787
40	183504	183856	183687
41	183412	183738	183592
42	183377	183619	183499
43	183308	183558	183419
44	183226	183465	183350
45	183144	183396	183282
46	183109	183346	183219
47	183068	183276	183162
48	183004	183194	183112
49	182976	183141	183065
50	182936	183095	183018
51	182910	183038	182980
52	182866	183005	182941
53	182854	182959	182906
54	182825	182934	182874
55	182791	182899	182841
56	182776	182865	182811
57	182750	182819	182784
58	182742	182788	182762
59	182726	182769	182747
60	182722	182751	182734
61	182715	182735	182725
62	182712	182727	182719
63	182707	182720	182715
64	182704	182717	182711
65	182703	182714	182708
66	182703	182712	182706
67	182703	182708	182704
68	182703	182705	182703
69	182703	182703	182703
trial...6
gene	min	max	ave
1	198131	201104	199541
2	196723	199378	198068
3	195508	197600	196819
4	194639	196518	195751
5	193987	195388	194834
6	193213	194631	194006
7	192446	193902	193268
8	191728	193195	192587
9	191353	192462	191946
10	190760	191929	191371
11	190264	191467	190843
12	189695	190926	190347
13	189436	190420	189886
14	188925	189944	189449
15	188369	189637	189036
16	188050	189083	188654
17	187769	188732	188283
18	187537	188404	187945
19	187277	187989	187641
20	186938	187707	187331
21	186487	187411	187027
22	186303	187089	186736
23	185935	186858	186472
24	185873	186510	186201
25	185582	186257	185943
26	185358	185934	185693
27	185177	185741	185463
28	184984	185546	185246
29	184739	185334	185041
30	184486	185075	184844
31	184336	184943	184657
32	184187	184781	184483
33	184087	184542	184315
34	183968	184323	184151
35	183762	184173	183997
36	183666	184032	183866
37	183580	183918	183742
38	183438	183765	183625
39	183379	183649	183526
40	183273	183593	183434
41	183244	183495	183355
42	183185	183369	183282
43	183146	183297	183216
44	183074	183245	183156
45	183031	183183	183101
46	182965	183138	183050
47	182942	183051	183004
48	182919	183016	182968
49	182883	182980	182935
50	182855	182946	182905
51	182833	182912	182878
52	182826	182893	182856
53	182806	182865	182836
54	182802	182846	182820
55	182779	182826	182805
56	182773	182815	182793
57	182765	182796	182782
58	182764	182785	182774
59	182759	182777	182768
60	182755	182771	182762
61	182753	182766	182758
62	182750	182759	182754
63	182747	182755	182752
64	182747	182753	182749
65	182746	182751	182748
66	182746	182749	182747
67	182746	182748	182747
68	182746	182747	182747
69	182746	182747	182746
70	182746	182747	182746
71	182746	182747	182746
72	182746	182746	182746
trial...7
gene	min	max	ave
1	198074	201285	199676
2	196973	199497	198198
3	195629	198063	196993
4	195031	196772	195931
5	194093	195748	194988
6	193425	194888	194169
7	192548	194035	193420
8	191862	193374	192750
9	191482	192682	192140
10	190849	192332	191566
11	190517	191518	191007
12	189835	191014	190508
13	189326	190544	190048
14	189047	190139	189603
15	188712	189613	189174
16	188352	189302	188783
17	187853	188843	188398
18	187323	188403	188033
19	187234	188240	187704
20	187002	187785	187386
21	186587	187431	187090
22	186340	187127	186805
23	186069	186854	186538
24	185761	186600	186263
25	185665	186308	186018
26	185381	186037	185768
27	185226	185830	185545
28	184944	185541	185322
29	184800	185358	185109
30	184645	185208	184916
31	184468	184972	184729
32	184321	184776	184554
33	184137	184617	184389
34	184018	184416	184233
35	183853	184265	184089
36	183772	184137	183956
37	183651	183992	183836
38	183555	183884	183721
39	183427	183802	183614
40	183370	183687	183515
41	183306	183589	183425
42	183236	183455	183341
43	183170	183370	183267
44	183109	183281	183201
45	183023	183226	183140
46	183000	183166	183090
47	182968	183104	183042
48	182934	183069	183001
49	182889	183020	182964
50	182870	182975	182930
51	182850	182943	182898
52	182827	182914	182869
53	182800	182875	182842
54	182788	182847	182819
55	182767	182825	182799
56	182760	182800	182781
57	182749	182786	182766
58	182740	182769	182753
59	182728	182754	182742
60	182721	182743	182732
61	182714	182734	182723
62	182711	182727	182716
63	182708	182718	182712
64	182706	182713	182709
65	182705	182711	182708
66	182704	182709	182706
67	182704	182707	182705
68	182704	182706	182704
69	182704	182705	182704
70	182704	182704	182704
trial...8
gene	min	max	ave
1	198589	200824	199653
2	197163	199174	198192
3	196194	197816	196962
4	194799	196690	195871
5	193956	195526	194955
6	193366	194805	194101
7	192519	193988	193345
8	191955	193267	192632
9	191303	192594	192003
10	190613	191901	191421
11	190223	191510	190886
12	189849	190874	190389
13	189283	190561	189906
14	188842	189877	189468
15	188537	189518	189065
16	188187	189206	188686
17	187909	188820	188322
18	187596	188400	187973
19	187211	188107	187644
20	187016	187797	187331
21	186654	187441	187058
22	186386	187207	186774
23	186107	186834	186513
24	185890	186599	186258
25	185725	186360	186019
26	185308	186050	185789
27	185238	185889	185564
28	185062	185656	185345
29	184855	185404	185135
30	184624	185278	184954
31	184521	185029	184779
32	184380	184818	184607
33	184232	184681	184443
34	184058	184522	184290
35	183837	184402	184152
36	183783	184223	184016
37	183687	184067	183884
38	183598	183953	183762
39	183491	183867	183647
40	183364	183664	183541
41	183266	183584	183448
42	183207	183483	183356
43	183167	183389	183272
44	183075	183299	183192
45	183030	183214	183119
46	182976	183128	183056
47	182913	183061	182999
48	182882	183022	182952
49	182858	182966	182910
50	182835	182926	182875
51	182802	182883	182845
52	182785	182847	182819
53	182769	182819	182796
54	182758	182797	182777
55	182740	182783	182761
56	182734	182765	182748
57	182728	182755	182737
58	182722	182739	182729
59	182717	182732	182724
60	182716	182725	182720
61	182716	182723	182717
62	182716	182722	182716
63	182716	182721	182716
64	182716	182716	182716
trial...9
gene	min	max	ave
1	198277	200818	199635
2	197104	199465	198154
3	196071	197810	196907
4	195122	196518	195842
5	194262	195431	194893
6	193024	194676	194079
7	192640	193959	193322
8	191814	193187	192634
9	191391	192610	192013
10	190786	191962	191425
11	190147	191378	190890
12	189873	190983	190405
13	189407	190456	189940
14	188914	189899	189498
15	188503	189598	189081
16	188186	189097	188668
17	187814	188666	188297
18	187445	188354	187944
19	187307	188007	187616
20	187002	187694	187306
21	186621	187373	187013
22	186329	187023	186729
23	186072	186784	186450
24	185863	186474	186187
25	185530	186277	185950
26	185408	185952	185719
27	185234	185752	185503
28	185023	185548	185298
29	184857	185342	185118
30	184668	185164	184941
31	184419	184961	184763
32	184340	184834	184604
33	184142	184615	184447
34	184042	184457	184307
35	183944	184388	184176
36	183874	184332	184049
37	183758	184093	183930
38	183643	184000	183819
39	183534	183867	183712
40	183454	183752	183616
41	183389	183636	183524
42	183294	183543	183437
43	183229	183468	183356
44	183187	183379	183280
45	183131	183309	183213
46	183053	183225	183152
47	183001	183184	183092
48	182962	183099	183038
49	182917	183044	182990
50	182880	183005	182949
51	182859	182960	182911
52	182833	182927	182880
53	182823	182883	182852
54	182802	182862	182829
55	182785	182834	182809
56	182771	182811	182792
57	182763	182793	182778
58	182751	182780	182766
59	182740	182769	182756
60	182737	182759	182748
61	182732	182753	182741
62	182730	182745	182736
63	182727	182738	182732
64	182726	182734	182728
65	182726	182730	182727
66	182726	182728	182727
67	182726	182727	182726
68	182726	182727	182726
69	182726	182727	182726
70	182726	182726	182726
trial...10
gene	min	max	ave
1	198182	201140	199674
2	197151	199158	198143
3	195806	197772	196894
4	194931	196462	195871
5	193938	195720	194924
6	193203	194808	194070
7	192499	193936	193307
8	191839	193211	192606
9	191276	192478	191978
10	190654	191982	191411
11	190144	191349	190866
12	189836	190952	190380
13	189207	190361	189902
14	188976	189927	189472
15	188369	189497	189083
16	188291	189065	188701
17	187879	188711	188328
18	187461	188390	187984
19	187013	188079	187654
20	186819	187733	187337
21	186544	187389	187059
22	186335	187203	186791
23	185777	186911	186529
24	185727	186682	186269
25	185597	186327	186027
26	185376	186078	185805
27	185195	185867	185597
28	185050	185725	185393
29	184845	185473	185200
30	184775	185312	185029
31	184654	185070	184862
32	184455	184914	184700
33	184260	184751	184545
34	184168	184668	184387
35	184042	184472	184249
36	183887	184308	184122
37	183752	184172	184004
38	183702	184048	183889
39	183627	183969	183784
40	183535	183817	183690
41	183482	183727	183604
42	183401	183629	183528
43	183338	183562	183457
44	183272	183490	183392
45	183259	183414	183334
46	183210	183357	183279
47	183160	183287	183229
48	183122	183243	183185
49	183067	183198	183144
50	183047	183174	183106
51	183010	183123	183069
52	182970	183080	183033
53	182944	183048	182999
54	182908	183022	182966
55	182894	182987	182937
56	182868	182954	182909
57	182849	182921	182886
58	182828	182891	182865
59	182810	182871	182845
60	182797	182851	182827
61	182788	182836	182811
62	182781	182812	182798
63	182774	182801	182787
64	182768	182791	182779
65	182765	182783	182773
66	182764	182775	182769
67	182764	182771	182767
68	182763	182768	182765
69	182763	182768	182764
70	182763	182768	182764
71	182763	182764	182763
72	182763	182764	182763
73	182763	182763	182763
opt count : 0
opt average : 182721
convergence generation : 68.7
