Instance : pr2392.tsp
opt distance : 378032
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
10	387777	392124	389880
11	386133	390155	388365
12	385269	388598	386945
13	383780	387024	385651
14	382538	385979	384502
15	382071	384519	383465
16	381630	383650	382545
17	380847	382630	381767
18	380388	381829	381116
19	379911	381083	380505
20	379404	380599	379991
21	379099	380042	379573
22	378788	379594	379215
23	378613	379262	378924
24	378354	378954	378692
25	378280	378651	378512
26	378206	378506	378375
27	378159	378390	378277
28	378104	378280	378205
29	378074	378218	378148
30	378062	378174	378110
31	378061	378122	378087
32	378059	378108	378073
33	378059	378106	378064
34	378059	378065	378060
35	378059	378064	378059
36	378059	378060	378059
37	378059	378059	378059
trial...10
gene	min	max	ave
1	413358	426612	419274
2	409177	417628	413640
3	404645	413412	408946
4	400543	408110	404893
5	398285	404433	401451
6	394861	400677	398559
7	392877	398208	395948
8	391211	395720	393690
9	389518	393561	391658
10	388205	391563	389858
11	386551	390104	388236
12	385035	388531	386737
13	384171	386719	385480
14	382566	385420	384362
15	382116	384437	383352
16	381270	383420	382467
17	380958	382578	381731
18	380363	382070	381095
19	380043	381042	380542
20	379595	380645	380057
21	379232	380027	379643
22	378949	379705	379288
23	378655	379334	379003
24	378493	379030	378753
25	378294	378765	378559
26	378226	378601	378411
27	378175	378446	378299
28	378132	378324	378219
29	378115	378237	378167
30	378112	378196	378140
31	378112	378155	378125
32	378112	378153	378116
33	378112	378152	378112
34	378112	378112	378112
opt count : 1
opt average : 378109
convergence generation : 35
