Instance : pr2392.tsp
opt distance : 378032
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	411625	425545	419073
2	408362	418835	413336
3	403789	411897	408656
4	401604	408000	404714
5	399166	404877	401250
6	395884	400932	398303
7	393446	398013	395780
8	391514	395117	393516
9	389235	393338	391496
10	387386	391547	389767
11	386539	390044	388210
12	385637	388533	386887
13	383367	387129	385676
14	383016	385741	384589
15	382429	385051	383610
16	381667	383955	382716
17	380919	383052	381913
18	380334	382029	381182
19	379949	381163	380585
20	379546	380717	380049
21	379257	380052	379622
22	378781	379642	379250
23	378652	379413	378957
24	378465	378988	378713
25	378353	378826	378520
26	378244	378563	378372
27	378179	378412	378263
28	378133	378318	378187
29	378132	378198	378151
30	378132	378184	378139
31	378132	378149	378134
32	378132	378148	378132
33	378132	378133	378132
34	378132	378133	378132
35	378132	378132	378132
trial...2
gene	min	max	ave
1	413372	426730	419053
2	408720	418861	413284
3	404286	412852	408579
4	400277	408602	404592
5	397709	404609	401131
6	395423	400869	398066
7	392468	397922	395424
8	390058	395502	393179
9	388891	393096	391196
10	387494	391054	389425
11	385554	389528	387895
12	384726	388120	386552
13	383909	387009	385292
14	382999	385566	384171
15	381976	384170	383226
16	381458	383394	382352
17	380763	382410	381631
18	380235	381756	380979
19	379764	381066	380439
20	379344	380477	379941
21	379008	380045	379511
22	378732	379553	379149
23	378524	379147	378853
24	378394	378843	378619
25	378227	378645	378431
26	378154	378477	378289
27	378090	378304	378179
28	378041	378196	378109
29	378035	378128	378073
30	378033	378077	378058
31	378032	378069	378050
32	378032	378066	378042
33	378032	378065	378035
34	378032	378033	378032
35	378032	378032	378032
trial...3
gene	min	max	ave
1	411239	425671	418933
2	406378	418486	413210
3	403705	412375	408488
4	401035	408580	404534
5	397504	403855	401132
6	394799	401149	398217
7	392577	398639	395655
8	391020	396459	393426
9	389316	393511	391373
10	387993	391720	389582
11	386476	389655	388003
12	384577	388145	386609
13	383777	386619	385401
14	382896	385420	384321
15	382136	384357	383305
16	381261	383631	382452
17	380695	382491	381700
18	380204	381840	381034
19	379839	381198	380471
20	379514	380548	379976
21	379057	380117	379584
22	378895	379681	379246
23	378653	379309	378958
24	378433	378958	378728
25	378345	378761	378547
26	378258	378596	378403
27	378190	378442	378299
28	378171	378324	378240
29	378168	378245	378219
30	378168	378230	378207
31	378168	378227	378191
32	378168	378226	378178
33	378168	378226	378170
34	378168	378168	378168
trial...4
gene	min	max	ave
1	411986	426263	418903
2	409160	418198	413227
3	404941	411268	408416
4	401259	407456	404596
5	397693	403954	401170
6	394662	401602	398204
7	392248	397988	395668
8	389827	395943	393385
9	389138	394128	391486
10	387969	391537	389814
11	386693	390123	388302
12	384923	388644	386927
13	383844	386970	385688
14	383290	385795	384565
15	382464	384662	383601
16	381677	383884	382708
17	381201	382889	381931
18	380496	381859	381233
19	380057	381318	380623
20	379529	380763	380108
21	379204	380134	379672
22	378912	379679	379308
23	378642	379307	378997
24	378504	379007	378752
25	378319	378769	378560
26	378192	378657	378404
27	378169	378425	378288
28	378129	378324	378209
29	378128	378237	378162
30	378127	378204	378138
31	378126	378158	378129
32	378125	378134	378127
33	378125	378127	378126
34	378125	378127	378126
35	378125	378126	378125
36	378125	378126	378125
37	378125	378126	378125
38	378125	378125	378125
trial...5
gene	min	max	ave
1	411886	426472	419480
2	407750	419095	413670
3	405390	412854	408884
4	400406	408539	404903
5	398196	404488	401445
6	394449	401085	398488
7	392622	397997	395992
8	391430	395905	393782
9	389179	393710	391775
10	387667	391712	389988
11	386552	390242	388419
12	384894	388849	387039
13	384274	386926	385726
14	383172	385905	384576
15	382225	384737	383542
16	381548	383603	382634
17	380960	382744	381806
18	380491	381796	381113
19	379934	381173	380526
20	379557	380528	380028
21	379204	379978	379603
22	378957	379614	379258
23	378658	379262	378963
24	378364	378988	378723
25	378309	378754	378542
26	378252	378522	378389
27	378170	378409	378283
28	378154	378294	378208
29	378153	378225	378165
30	378153	378164	378154
31	378153	378155	378153
32	378153	378154	378153
33	378153	378153	378153
trial...6
gene	min	max	ave
1	412462	425816	418883
2	407951	417838	413127
3	403980	412631	408377
4	400149	407677	404330
5	397421	403456	400962
6	395213	400918	398215
7	392079	398122	395739
8	390476	395717	393578
9	389052	393480	391580
10	387435	391735	389862
11	386526	390237	388327
12	385295	389105	386919
13	383909	387569	385689
14	382317	385738	384586
15	382087	384840	383602
16	381784	383756	382744
17	381052	382797	381984
18	380584	382251	381334
19	379992	381520	380790
20	379715	380953	380315
21	379331	380375	379885
22	379044	379916	379486
23	378763	379557	379144
24	378582	379221	378858
25	378392	378912	378628
26	378277	378640	378451
27	378206	378483	378321
28	378142	378374	378230
29	378114	378279	378171
30	378113	378189	378137
31	378113	378137	378124
32	378113	378134	378118
33	378113	378132	378114
34	378113	378118	378113
35	378113	378113	378113
trial...7
gene	min	max	ave
1	412185	425717	418887
2	408643	418994	413241
3	404649	412741	408514
4	400229	407797	404509
5	397389	404349	401113
6	393387	401784	398244
7	391916	398787	395678
8	390801	395860	393385
9	388613	393966	391372
10	387435	391721	389594
11	386303	389768	387975
12	385129	387935	386611
13	383909	386744	385384
14	383012	385459	384294
15	381781	384490	383296
16	381483	383360	382402
17	381003	382518	381642
18	380337	381678	381003
19	379793	380919	380448
20	379529	380400	379975
21	379221	379863	379566
22	378747	379520	379227
23	378654	379270	378942
24	378492	379013	378713
25	378320	378719	378531
26	378232	378533	378389
27	378171	378404	378280
28	378129	378279	378200
29	378116	378242	378154
30	378112	378164	378131
31	378112	378160	378120
32	378112	378129	378114
33	378112	378128	378112
34	378112	378112	378112
trial...8
gene	min	max	ave
1	414027	427511	419506
2	408481	419150	413750
3	404913	412452	409010
4	400600	409252	404990
5	398245	404988	401505
6	395113	401337	398445
7	392406	398283	395941
8	390982	395645	393624
9	389704	393821	391627
10	387109	391613	389793
11	386169	389517	388150
12	384851	388013	386640
13	383492	386751	385294
14	382902	385389	384089
15	382017	384318	383072
16	381284	383053	382167
17	380669	382384	381430
18	380221	381458	380789
19	379654	380840	380241
20	379223	380353	379783
21	378958	379874	379377
22	378671	379407	379044
23	378441	379051	378768
24	378302	378763	378542
25	378195	378551	378362
26	378129	378435	378231
27	378097	378234	378145
28	378085	378164	378102
29	378084	378117	378087
30	378084	378088	378085
31	378084	378086	378085
32	378084	378085	378084
33	378084	378085	378084
34	378084	378085	378084
35	378084	378084	378084
trial...9
gene	min	max	ave
1	412408	424737	419126
2	408259	418006	413538
3	404312	411851	408789
4	400829	408009	404925
5	397865	404532	401526
6	395050	401645	398630
7	393067	398778	396020
8	390633	396072	393760
9	389121	393661	391671
