Instance : rat783.tsp
opt distance : 8806
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
20	8809	8816	8812.28
21	8808	8813	8811.44
22	8808	8812	8810.94
23	8808	8812	8810.43
24	8808	8812	8809.88
25	8808	8811	8809.16
26	8808	8811	8808.5
27	8808	8810	8808.13
28	8808	8809	8808.01
29	8808	8808	8808
trial...10
gene	min	max	ave
1	9481	9838	9624.5
2	9364	9628	9484.7
3	9239	9461	9369.92
4	9142	9355	9277.13
5	9089	9273	9197.69
6	9049	9210	9134.26
7	8998	9137	9075.12
8	8950	9089	9029.03
9	8923	9056	8987.38
10	8897	9016	8951.26
11	8871	8964	8920.6
12	8848	8928	8893
13	8840	8915	8869.5
14	8828	8876	8849.27
15	8817	8852	8834.91
16	8815	8839	8824.85
17	8811	8830	8818.29
18	8809	8819	8814.73
19	8808	8816	8812.85
20	8808	8815	8811.51
21	8807	8814	8810.49
22	8807	8812	8809.52
23	8807	8811	8808.59
24	8807	8811	8807.77
25	8807	8809	8807.32
26	8807	8808	8807.08
27	8807	8808	8807
28	8807	8807	8807
opt count : 4
opt average : 8807.8
convergence generation : 27.2
