Instance : rat99.tsp
opt distance : 1211
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	1238	1359	1286.42
2	1213	1311	1255.17
3	1211	1272	1232.87
4	1211	1247	1220.27
5	1211	1225	1214.92
6	1211	1222	1212.76
7	1211	1215	1211.78
8	1211	1213	1211.42
9	1211	1212	1211.18
10	1211	1212	1211.04
11	1211	1211	1211
trial...2
gene	min	max	ave
1	1214	1354	1284.68
2	1213	1308	1251.46
3	1212	1265	1228.28
4	1211	1244	1216.19
5	1211	1223	1212.65
6	1211	1215	1211.83
7	1211	1212	1211.54
8	1211	1212	1211.29
9	1211	1212	1211.1
10	1211	1212	1211.01
11	1211	1211	1211
trial...3
gene	min	max	ave
1	1230	1360	1285.38
2	1212	1298	1253.89
3	1212	1269	1231.73
4	1211	1242	1218.09
5	1211	1226	1213
6	1211	1215	1211.82
7	1211	1213	1211.48
8	1211	1212	1211.24
9	1211	1212	1211.04
10	1211	1211	1211
trial...4
gene	min	max	ave
1	1213	1335	1284.54
2	1212	1318	1253.54
3	1211	1268	1232.09
4	1211	1247	1219.14
5	1211	1225	1213.38
6	1211	1218	1212.11
7	1211	1213	1211.67
8	1211	1212	1211.41
9	1211	1212	1211.18
10	1211	1212	1211.06
11	1211	1211	1211
trial...5
gene	min	max	ave
1	1227	1357	1283.55
2	1212	1298	1253.72
3	1211	1270	1231.39
4	1211	1243	1219.07
5	1211	1239	1213.69
6	1211	1223	1211.98
7	1211	1213	1211.47
8	1211	1212	1211.19
9	1211	1212	1211.05
10	1211	1212	1211.01
11	1211	1211	1211
trial...6
gene	min	max	ave
1	1237	1347	1290.26
2	1220	1306	1257.44
3	1212	1269	1236.52
4	1211	1249	1222.17
5	1211	1236	1214.88
6	1211	1220	1212.35
7	1211	1213	1211.74
8	1211	1212	1211.53
9	1211	1212	1211.31
10	1211	1212	1211.09
11	1211	1212	1211.01
12	1211	1211	1211
trial...7
gene	min	max	ave
1	1212	1348	1284.56
2	1212	1307	1252.29
3	1211	1276	1231.1
4	1211	1250	1218.39
5	1211	1227	1213.37
6	1211	1220	1212
7	1211	1215	1211.46
8	1211	1213	1211.18
9	1211	1212	1211.02
10	1211	1211	1211
trial...8
gene	min	max	ave
1	1218	1348	1287.98
2	1213	1307	1257.26
3	1212	1285	1234.89
4	1211	1250	1219.78
5	1211	1227	1214.09
6	1211	1218	1211.93
7	1211	1215	1211.39
8	1211	1212	1211.12
9	1211	1212	1211.01
10	1211	1211	1211
trial...9
gene	min	max	ave
1	1243	1339	1290.18
2	1222	1299	1259.64
3	1213	1270	1237.98
4	1211	1252	1223.22
5	1211	1231	1215.71
6	1211	1221	1213.21
7	1211	1218	1212.07
8	1211	1213	1211.67
9	1211	1212	1211.45
10	1211	1212	1211.22
11	1211	1212	1211.04
12	1211	1211	1211
trial...10
gene	min	max	ave
1	1236	1354	1288.1
2	1213	1309	1254.81
3	1211	1276	1231.97
4	1211	1243	1218.93
5	1211	1227	1213.53
6	1211	1219	1212.08
7	1211	1213	1211.56
8	1211	1212	1211.29
9	1211	1212	1211.07
10	1211	1212	1211.01
11	1211	1211	1211
opt count : 10
opt average : 1211
convergence generation : 10.9
