Instance : nrw1379.tsp
opt distance : 56638
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
25	56682	56775	56722.3
26	56669	56743	56696.9
27	56656	56703	56678.2
28	56649	56682	56664
29	56644	56667	56654.3
30	56643	56655	56650
31	56643	56655	56648.2
32	56643	56650	56647
33	56643	56649	56645.7
34	56643	56649	56644.2
35	56643	56649	56643.2
36	56643	56649	56643
37	56643	56643	56643
trial...8
gene	min	max	ave
1	60640	62435	61621.4
2	60194	61611	60894.2
3	59849	60723	60325.7
4	59503	60365	59870.8
5	58919	59846	59478.1
6	58747	59480	59144.3
7	58513	59108	58856.6
8	58352	58932	58604.8
9	58115	58597	58382.9
10	58004	58433	58182.2
11	57754	58188	58002.6
12	57668	58003	57847.4
13	57476	57856	57697.5
14	57332	57703	57563.7
15	57262	57601	57438.4
16	57173	57459	57333.9
17	57084	57373	57227.4
18	56974	57272	57137.9
19	56914	57166	57061.9
20	56874	57116	56992
21	56819	57027	56927.1
22	56770	56944	56870
23	56745	56894	56821.9
24	56719	56833	56783.7
25	56704	56808	56753.1
26	56680	56768	56728.2
27	56673	56745	56707.1
28	56666	56715	56689.2
29	56653	56702	56675.3
30	56646	56683	56666
31	56645	56676	56660.2
32	56645	56666	56655.7
33	56645	56662	56651.4
34	56645	56661	56648.1
35	56645	56654	56645.9
36	56645	56650	56645.2
37	56645	56645	56645
trial...9
gene	min	max	ave
1	60870	62661	61639.2
2	60518	61458	60935.1
3	59966	60833	60376
4	59494	60297	59914.7
5	59005	59964	59513.5
6	58786	59548	59180.8
7	58491	59292	58873.1
8	58286	58824	58603
9	57991	58593	58364.3
10	57898	58375	58153.3
11	57646	58208	57962.7
12	57524	58009	57788.7
13	57445	57895	57642.5
14	57367	57721	57514
15	57243	57557	57401.9
16	57130	57436	57301.9
17	57078	57316	57211.2
18	57006	57234	57130
19	56966	57158	57064.7
20	56895	57094	57004.3
21	56878	57024	56954.2
22	56826	56982	56907.4
23	56808	56932	56867.8
24	56777	56878	56833.8
25	56738	56843	56804.4
26	56716	56824	56776
27	56702	56792	56750.8
28	56679	56767	56729.6
29	56670	56746	56710.9
30	56651	56726	56694.1
31	56651	56710	56678.6
32	56651	56697	56664.7
33	56651	56693	56655.3
34	56651	56679	56651.8
35	56651	56652	56651.1
36	56651	56652	56651
37	56651	56651	56651
trial...10
gene	min	max	ave
1	60794	62251	61554
2	60231	61386	60861.8
3	59817	60704	60308.7
4	59426	60270	59861.4
