Instance : rl5915.tsp
opt distance : 565530
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
41	565641	565641	565641
trial...8
gene	min	max	ave
1	615745	639217	626771
2	608748	628091	617550
3	602743	616674	610237
4	597459	609485	603837
5	591644	603881	598568
6	588029	598552	593861
7	584761	593678	589839
8	582652	589710	586331
9	579229	586793	583191
10	577351	583733	580571
11	575516	580361	578284
12	574313	578405	576347
13	573160	576313	574720
14	571759	575088	573318
15	570487	574022	572086
16	569751	572153	570994
17	568600	571232	570033
18	568167	570345	569238
19	567823	569180	568555
20	567335	568396	567968
21	566857	567907	567492
22	566733	567446	567089
23	566522	567099	566761
24	566311	566730	566508
25	566128	566472	566296
26	565952	566262	566133
27	565839	566138	566002
28	565749	566034	565901
29	565729	565900	565826
30	565700	565843	565767
31	565667	565799	565721
32	565645	565775	565686
33	565634	565721	565660
34	565628	565671	565646
35	565628	565662	565638
36	565628	565644	565632
37	565628	565644	565629
38	565628	565644	565628
39	565628	565628	565628
trial...9
gene	min	max	ave
1	614261	638367	627727
2	608398	631792	618352
3	604188	618480	610639
4	598126	609670	604498
5	594143	603435	599147
6	588548	598641	594547
7	586564	594025	590494
8	583079	590375	586991
9	581261	586483	583956
10	577620	583566	581248
11	576666	581628	578860
12	574169	579493	576866
13	573235	576779	575092
14	571984	575232	573564
15	571047	573598	572310
16	570149	572383	571201
17	569372	571298	570266
18	568624	570383	569433
19	567880	569523	568701
20	567501	568763	568117
21	567037	568193	567620
22	566711	567613	567220
23	566447	567216	566896
24	566319	566987	566629
25	566216	566612	566418
26	566088	566399	566244
27	565986	566264	566108
28	565880	566162	566006
29	565827	566028	565924
30	565787	565939	565857
31	565744	565877	565802
32	565714	565826	565761
33	565690	565768	565732
34	565665	565738	565709
35	565665	565725	565691
36	565659	565713	565676
37	565659	565698	565667
38	565659	565671	565664
39	565659	565665	565663
40	565659	565665	565662
41	565659	565665	565661
42	565659	565665	565659
43	565659	565665	565659
44	565659	565659	565659
trial...10
gene	min	max	ave
1	613180	645065	626762
2	608318	627634	617613
3	603578	618726	610309
4	597039	610210	604130
5	594450	602946	598822
6	587346	598371	594365
7	584314	593839	590390
8	582429	589853	586763
9	579851	586436	583713
10	578162	583471	581030
11	576639	581221	578768
